,ortnamn,kommun,pop,area,popdensity,orttyp,latitude,longitude,efterled
Kalkudden (Strängnäs kommun),Kalkudden,Strängnäs,269,181,148,tätort,59.2650522,17.2829328,udden
Kallax (Luleå kommun),Kallax,Luleå,475,170,280,tätort,65.5245736,22.0592544,lax
Kallfors (Södertälje kommun),Kallfors,Södertälje,1404,142,992,tätort,59.11265645,17.548315826808732,fors
Kallinge (Ronneby kommun),Kallinge,Ronneby,4937,523,944,tätort,56.2456106,15.2872377,inge
Kalmar (Kalmar kommun),Kalmar,Kalmar,40434,1998,2024,tätort,56.6628826,16.3662382,
Kalvsund (Öckerö kommun),Kalvsund,Öckerö,208,25,818,tätort,57.7089688,11.680922518666668,sund
Kangos (Pajala kommun),Kangos,Pajala,238,145,164,tätort,67.4845264,22.655664,os
Karby (Vallentuna kommun),Karby,Vallentuna,848,55,1546,tätort,59.5622952,18.221735,arby
Kareby (Kungälv kommun),Kareby,Kungälv,237,56,422,tätort,57.904412,11.9340876,by
Ringby (Kungälv kommun),Ringby,Kungälv,237,56,422,tätort,57.9198186,11.9305876,by
Karesuando (Kiruna kommun),Karesuando,Kiruna,290,74,390,tätort,68.4405054,22.4743151,suando
Karlholmsbruk (Tierp kommun),Karlholmsbruk,Tierp,1235,284,435,tätort,60.5219407,17.6362316,bruk
Karlsborg (Karlsborg kommun),Karlsborg,Karlsborg,3766,505,746,tätort,58.5359075,14.5054884,borg
Karlshamn (Karlshamn kommun),Karlshamn,Karlshamn,20293,1597,1271,tätort,56.1701723,14.8631279,hamn
